Event_Year;Event_Name;Runner_Gender;Runner_Age;AG;Running_Time_sec;Running_Time_min;Speed_km_h
2010;Hallwilerseelauf;Male;32;M30;3767;62.78;20.16
2014;Hallwilerseelauf;Male;32;M30;3803;63.38;19.97
2010;Hallwilerseelauf;Male;20;M20;3821;63.68;19.88
2013;Hallwilerseelauf;Male;27;M25;3823;63.72;19.87
2004;Hallwilerseelauf;Male;33;M30;3828;63.8;19.84
2014;Hallwilerseelauf;Male;28;M25;3832;63.87;19.82
2016;Hallwilerseelauf;Male;34;M30;3835;63.92;19.8
2001;Hallwilerseelauf;Male;23;M20;3842;64.03;19.77
2015;Hallwilerseelauf;Male;33;M30;3847;64.12;19.74
2015;Hallwilerseelauf;Male;25;M25;3858;64.3;19.68
2001;Hallwilerseelauf;Male;24;M20;3860;64.33;19.68
2011;Hallwilerseelauf;Male;33;M30;3869;64.48;19.63
2004;Hallwilerseelauf;Male;30;M30;3870;64.5;19.62
2010;Hallwilerseelauf;Male;28;M25;3889;64.82;19.53
2011;Hallwilerseelauf;Male;37;M35;3889;64.82;19.53
2005;Hallwilerseelauf;Male;25;M25;3902;65.03;19.46
2005;Hallwilerseelauf;Male;23;M20;3905;65.08;19.45
2004;Hallwilerseelauf;Male;18;M18;3906;65.1;19.44
2012;Hallwilerseelauf;Male;23;M20;3907;65.12;19.44
2005;Hallwilerseelauf;Male;23;M20;3908;65.13;19.43
2013;Hallwilerseelauf;Male;30;M30;3910;65.17;19.43
1999;Hallwilerseelauf;Male;20;M20;3927;65.45;19.34
2005;Hallwilerseelauf;Male;18;M18;3931;65.52;19.32
2017;Hallwilerseelauf;Male;27;M25;3932;65.53;19.32
2013;Hallwilerseelauf;Male;31;M30;3938;65.63;19.29
2013;Hallwilerseelauf;Male;37;M35;3943;65.72;19.26
2015;Hallwilerseelauf;Male;29;M25;3957;65.95;19.2
2019;Hallwilerseelauf;Male;33;M30;3959;65.98;19.18
2009;Hallwilerseelauf;Male;25;M25;3960;66;19.18
2017;Hallwilerseelauf;Male;32;M30;3961;66.02;19.17
2014;Hallwilerseelauf;Male;28;M25;3964;66.07;19.16
2016;Hallwilerseelauf;Male;26;M25;3965;66.08;19.15
2002;Hallwilerseelauf;Male;27;M25;3968;66.13;19.14
2002;Hallwilerseelauf;Male;25;M25;3971;66.18;19.13
2002;Hallwilerseelauf;Male;42;M40;3971;66.18;19.13
2002;Hallwilerseelauf;Male;27;M25;3972;66.2;19.12
2014;Hallwilerseelauf;Male;27;M25;3973;66.22;19.12
2009;Hallwilerseelauf;Male;24;M20;3977;66.28;19.1
2007;Hallwilerseelauf;Male;25;M25;3982;66.37;19.08
2007;Hallwilerseelauf;Male;25;M25;3982;66.37;19.07
2014;Hallwilerseelauf;Male;38;M35;3988;66.47;19.05
2006;Hallwilerseelauf;Male;24;M20;3991;66.52;19.03
2006;Hallwilerseelauf;Male;31;M30;3993;66.55;19.02
1999;Hallwilerseelauf;Male;24;M20;3994;66.57;19.02
2009;Hallwilerseelauf;Male;33;M30;3995;66.58;19.01
2003;Hallwilerseelauf;Male;31;M30;3996;66.6;19.01
2010;Hallwilerseelauf;Male;21;M20;3999;66.65;18.99
2010;Hallwilerseelauf;Male;23;M20;4000;66.67;18.99
2008;Hallwilerseelauf;Male;26;M25;4003;66.72;18.98
2005;Hallwilerseelauf;Male;28;M25;4004;66.73;18.97
2008;Hallwilerseelauf;Male;26;M25;4012;66.87;18.93
2007;Hallwilerseelauf;Male;29;M25;4013;66.88;18.93
